method_id,canonical_name,campaign,branch_ref,claim_layer,method_family,implementation_status,scientific_outcome,mechanical_verdict,primary_metric_value,power,licence_earned,contamination_leakage,supersession_relations,record_confidence,_scope
LR-04-INDEPENDENT-DRIFT-FEASIBILITY,Independent drift-model feasibility audit (D0-D4; D3 admissibility),la_lb_ritual,research/la-lb-ritual-feasibility,L6,drift-model admissibility audit (independent-evidence grounding),RUN_CONFIRMATORY,REFUTED,"D3 (independent constrained edit, >=2 subs) NOT admissible: transformations_estimated_from_independent_data=false, weights_cross_validated=false, target_pairs_absent_from_training=false; drift_model_feasible=false. Only D0/D1 (exact/tier-A) + D2 (<=1 flagged) admissible, spanning 0 genuine drift","D3_admissible=false; blocking criteria = 3 (independent estimation, cross-validation, target absence); feasible families D0/D1/D2",admissible models span 0 genuine drift -> drift-inclusive phenomenon untestable,none,drift feasibility does not import/fit the candidate/target packets (observes only),the D_drift=NO_POWER driver for LR-08; mirrors LC-10 drift NO_POWER,"HIGH; drift_feasibility.json VERIFIED_FROM_ARTIFACT (read on disk), file untracked/uncommitted",external_language
LR-05-RITUAL-LEAKAGE-FIREWALL,Ritual leakage firewall proven before any matching interface (§XI),la_lb_ritual,research/la-lb-ritual-feasibility,L3,leakage firewall test suite,RUN_CONFIRMATORY,SUPPORTED,"7/7 (report lists 8 guarantees) pass: LA builder cannot read LB, LB cannot read LA, neither reads the ledger, drift feasibility does not fit packets, packet A has no LB/phonetic, packet B has no LA, no side-by-side inventory, no similarity function on real inventories",7/7 tests pass,NOT_APPLICABLE,none,no real LA<->LB ritual matching/similarity/score computed anywhere in this pass,certifies LR-07/LR-08 as leakage-clean; parallels EA-01/LC leakage tests,"HIGH; test-based, VERIFIED_FROM_ARTIFACT",external_language
LR-06-RITUAL-POSITIVE-CONTROLS,Ritual feasibility positive controls PC-R1..R4 (synthetic/within-script),la_lb_ritual,research/la-lb-ritual-feasibility,L5,synthetic-implant + within-script positive controls (feasibility),RUN_CONFIRMATORY,SUPPORTED,"PC-R1 exact synthetic implant recovered 1/1..5/5; PC-R2 degraded recovered only by D2 (D0 exact=0); PC-R3 LB-internal 15/15 self-persistence, 0 cross-term FP; PC-R4 known-pair representation 2 exact / 3 drift (POSTHOC_FACE_VALIDITY_ONLY, sets no threshold)","PC-R1 100% exact recovery; PC-R3 15/15 recovery, 0 cross-FP; PC-R4 2 exact / 3 drift",confirms exact-continuity recoverable in principle; drift not (D3 inadmissible),none,synthetic/within-script only; no real inventories matched,parallels LC-07; feeds LR-08 exact-feasibility split,"HIGH; ritual_controls.json VERIFIED_FROM_ARTIFACT (on disk), untracked",external_language
LR-07-RITUAL-NULLS-POWER-SIM,"Ritual null families + power simulation (12 families, permissive-drift FP)",la_lb_ritual,research/la-lb-ritual-feasibility,L5,end-to-end null battery + power envelope (feasibility simulation),RUN_CONFIRMATORY,NO_POWER,"Exact: FP 0.8% (1.6% post-hoc-bounded), full power min-detectable 1. Permissive-drift (D4): FP 99.62% (13.08 spurious matches/run), combined best-of-search FP 99.63% -> undetectable. Family 9 (independent-drift null) N/A (D3 inadmissible). P(NO_POWER) realistic ~0.60",permissive FP 0.9962 / 13.076 mean; exact FP 0.008; combined best-of-search 0.9963; post-hoc-bounded 0.016,exact FULL (min 1); drift undetectable (no admissible model); P(NO_POWER)~0.60,none,synthetic/within-script; no real matching,quantitative basis for LR-08 verdict; mirrors LC-08/LC-10,"HIGH; ritual_nulls_power.json VERIFIED_FROM_ARTIFACT (on disk), untracked",external_language
LR-08-RITUAL-FINAL-FEASIBILITY-VERDICT,Final ritual feasibility verdict (§XII),la_lb_ritual,research/la-lb-ritual-feasibility,L5,mechanical feasibility verdict,RUN_CONFIRMATORY,NO_POWER,"status=COMPLETE, ritual_channel_readiness=NO_POWER. Triggers: (1) drift model not independently specifiable (D3 inadmissible); (2) permissive-drift FP ~99.6%; (3) no in-domain known exemplar. Split: EXACT ritual mechanically possible but no exemplar + likely domain mismatch; DRIFT = NO_POWER. Recommendation: STOP; return to the preserved Egyptian channel",ritual_channel_readiness=NO_POWER; P(NO_POWER) realistic 0.6; in_domain_known_exemplar_exists=false,"exact full, drift none",none (no phonetic/lexical/decipherment claim),feasibility construction low-circularity; no real matching,closes the LA<->LB lineage; hands off to the preserved Egyptian channel (EA campaign),"HIGH; ritual_final_verdict.json VERIFIED_FROM_ARTIFACT (on disk), untracked/uncommitted",external_language
FND-01,WP1 formal identifiability & symmetry theorem (relabeling-invariance scope audit),linear_a_foundry / WP1,research/linear-a-decipherment-foundry,"L2 (structure/identifiability of the C/V partition); formal meta-claim about method power, no reading",formal proof / group-theoretic identifiability analysis,RUN_EXPLORATORY,REFUTED (of the prior global theorem) / STRUCTURAL_ONLY,PRIOR_THEOREM_OVERSTATED,"symmetry-group order reduction 92! -> 5!*87! (~1e9 x smaller) [REPORT_ONLY, illustrative]",N/A,NONE (all LA transfer NOT_EARNED),none (no LA values used); LB used only as illustrative known-truth,SUPERSEDES prior campaign's 'internal methods value-blind forever' claim (correction C1). The downstream position->C/V empirical leg it motivates was LATER REFUTED as a frequency artifact by the relative-phonology campaign.,VERIFIED_FROM_ARTIFACT (theorem text + atlas present),foundry
FND-02,WP1 word-initial-rate position statistic — C/V symmetry-break counterexample,linear_a_foundry / WP1,research/linear-a-decipherment-foundry,L2 (relative C/V structure),distributional position statistic + permutation test,RUN_EXPLORATORY,"PARTIAL_SUPPORT (LB, single-feature-modest) / RELATIVE_PHONOLOGY_ONLY on LA (candidate ranking)",PRIOR_THEOREM_OVERSTATED (empirical leg),"LB vowel-vs-consonant AUC = 0.744, permutation p = 0.035 [VERIFIED_FROM_ARTIFACT data/wp1_symmetry_break.json]; LA top initial-rate signs A(0.43)/I(0.20)/U(0.18) [VERIFIED]",single feature; strengthened by multi-feature WP3.1,NONE,non-circular on LA (no LB values as inputs); LA vowel check acknowledged as circular,"LATER REFUTED: the position->C/V signal was shown by the relative-phonology campaign to be a frequency artifact (per task note). Feeds FND-04, FND-13.",VERIFIED_FROM_ARTIFACT,foundry
FND-03,WP1 symmetry-breaking atlas (13-channel enumeration),linear_a_foundry / WP1,research/linear-a-decipherment-foundry,L2 / meta (method-space enumeration),taxonomy / design enumeration,PROPOSED_ONLY (design catalogue; individual channels implemented in later WPs),STRUCTURAL_ONLY (organizing scaffold),atlas built (NOT a verdict-bearing test),13 channels; >=5 independent INTERNAL relative channels identified [VERIFIED_FROM_ARTIFACT data/symmetry_breaking_atlas.json],N/A,NONE,cross-script channels flagged circular (<=0.75 cap),scaffolds FND-04..FND-18,VERIFIED_FROM_ARTIFACT,foundry
FND-04,"WP3.1 multi-feature C/V classifier (logistic, LB 7-fold CV) + frequency ablation",linear_a_foundry / WP3.1,research/linear-a-decipherment-foundry,L2 (C/V partition),supervised logistic classifier + permutation null + feature ablation,RUN_EXPLORATORY,"SUPPORTED on LB (partition recovered) / RELATIVE_PHONOLOGY_ONLY (ranking, not calibrated partition) on LA",CV_PARTITION_RECOVERED (LB),LB 7-fold CV AUC = 0.835 (perm p=0.01); log_freq-only AUC = 0.838; position-only AUC = 0.67; minus-log_freq = 0.783 [ALL VERIFIED_FROM_ARTIFACT data/wp3_cv_recovery.json],"adequate on LB; LA probabilities all <0.05 (domain shift, no calibration)",NONE,non-circular on LA inputs; frequency prior is external typological knowledge (labelled),LATER REFUTED: position->C/V corpus signal shown to be a frequency artifact by the relative-phonology campaign (task note). Ablation here already flagged frequency dominance.,VERIFIED_FROM_ARTIFACT,foundry
FND-05,WP3.1b unsupervised LA-internal C/V clustering (k-means/GMM),linear_a_foundry / WP3.1b,research/linear-a-decipherment-foundry,L2,unsupervised clustering + ARI permutation null (fail-closed gate),RUN_EXPLORATORY,NULL (needs labels),NULL,"LB k-means ARI=0.0034 (perm p=0.4571), GMM ARI=0.0062 — at chance; vowel purity ~0.09 [VERIFIED_FROM_ARTIFACT data/wp3_cv_cluster.json]",dominant variance axis (frequency) is orthogonal to the 5-vs-69 C/V split,NONE,none,motivates FND-13 (reduced-seed bootstrap),VERIFIED_FROM_ARTIFACT,foundry
FND-06,"WP3.2 scribal-substitution similarity graph (n-gram context, degree-preserving null)",linear_a_foundry / WP3.2,research/linear-a-decipherment-foundry,L2 (phonological similarity metric),substitution-context graph + threshold sweep vs degree-preserving null,RUN_EXPLORATORY,SUPPORTED on LB (SIGNAL_VALIDATED) / NO_POWER on LA (underpowered),SIGNAL_VALIDATED (LB); LA candidate-underpowered,"LB same-feature recovery 1.39x null, z=7.07, hub-norm weight->feature AUC=0.714 (raw-weight 0.552); base_rate 0.2477; LA max edge weight=105 vs LB 303 [VERIFIED_FROM_ARTIFACT data/wp3_2_scribal_substitution.json]. Note z reported as 7.07 in report; sweep table p=0.0033.",LA max weight 105 below the ~120 clean regime,NONE,non-circular (sign-identity contexts only),power quantified in FND-07; word-segmented variant FND-17 (hurts),VERIFIED_FROM_ARTIFACT (z=7.07 is report-level; sweep table shows p=0.0033 — minor presentational gap),foundry
FND-07,WP3.2b substitution power curve (LB subsample ladder),linear_a_foundry / WP3.2b,research/linear-a-decipherment-foundry,L2 (power characterization),corpus-size learning curve (subsampling),RUN_EXPLORATORY,"PARTIAL_SUPPORT / QUANTIFIED (LA ~1.7x below clean regime, not at a floor)",QUANTIFIED,"max-weight vs size: 3000w->112, 5000w->150, 8000w->212, 13562w->303; LA(539 seq)=105; clean regime (>=120) at ~5000 LB words; LA-equivalent ~3000 => corpus_multiple_needed=1.7 [VERIFIED_FROM_ARTIFACT data/wp3_2b_power_curve.json]",explicitly a power characterization,NONE,none,refines correction C2; contrast FND-14 (4.9x),VERIFIED_FROM_ARTIFACT,foundry
FND-08,WP3.3 orthographic-alternation detector,linear_a_foundry / WP3.3,research/linear-a-decipherment-foundry,L2/L3 (orthographic/morphophonological structure),minimal-pair alternation detector + corpus-shuffle null,RUN_EXPLORATORY,SUPPORTED on LB / NO_POWER on LA (data-limited),validated (LB) / NO_POWER (LA),"LB sameV enrichment 1.15x (p=0.0033), sameC 1.452x (p=0.0033); LA only 1 pair support>=3 => NO_POWER [VERIFIED_FROM_ARTIFACT data/wp3_3_orthographic_alternations.json]",LA unsegmented -> no support,NONE,non-circular,part of WP3 core VALIDATED(LB)/UNDERPOWERED(LA) pattern,VERIFIED_FROM_ARTIFACT,foundry
FND-09,WP3.4 morphology C/V-typing detector (bits/word gain),linear_a_foundry / WP3.4,research/linear-a-decipherment-foundry,L3 (morphology/grammar),typed-bigram information-gain detector + held-out-by-stem CV + permutation null,RUN_EXPLORATORY,SUPPORTED on LB (detector validated) / NULL on LA (recurrence artifact),NULL (LA),LB G_morph = +0.7309 bits/word (bigram 20.5374 vs untyped 19.8065); LA gain = whole-wordform-recurrence artifact (no productive paradigms) => NULL [VERIFIED_FROM_ARTIFACT data/wp3_4_morphology_cv.json],LA lacks paradigm depth,NONE,recurrence artifact explicitly diagnosed and excluded on LA,consistent with the standing morphology NO-POWER null in the frozen paper,VERIFIED_FROM_ARTIFACT,foundry
FND-10,"WP2 segmentation lever (packed vs GORILA word units, C/V vowel recovery)",linear_a_foundry / WP2,research/linear-a-decipherment-foundry,L2 (methodological / C/V),text-unit ablation (segmentation encoding comparison),RUN_EXPLORATORY,PARTIAL_SUPPORT (segmentation helps this channel; a methodological-artifact correction),SEGMENTATION_LEVER_HELPS,"LA vowel-vs-rest AUC 0.685 (packed) -> 0.760 (word-segmented), toward LB ceiling 0.835 [VERIFIED_FROM_ARTIFACT data/wp2_segmentation_lever.json]","shows part of the 'underpowered' obstacle is a text-unit artifact, correctable now",NONE,non-circular (vowel identity is check),LATER REFUTED: position->C/V recovery is a frequency artifact (task note); the segmentation gain rides on that same channel. Channel-dependence corrected by FND-17.,VERIFIED_FROM_ARTIFACT,foundry
FND-11,WP4 diachronic & cross-script sign-evolution (shape / distributional / chronology channels),linear_a_foundry / WP4,research/linear-a-decipherment-foundry,L5/L6 (value/phonetic transfer),cross-script alignment (Procrustes/MUSE) + leave-one-sign-out + shape-channel Fisher test,RUN_EXPLORATORY,NULL (non-circular distributional channel) / CIRCULAR (shape channel capped <=0.75),NULL (4th distributional null); shared-AB hypothesis REFUTED non-circularly,"distributional R@1=0.000, R@5=0.071 vs null 0.066 (perm-p 0.50-0.60), median true-partner rank 48/89; shape stable-11 recall 11/11, precision 0.44, Fisher one-sided p=1.59e-5 but CONFOUNDED [VERIFIED_FROM_ARTIFACT data/wp4_calibration.json]",distributional at chance floor,NONE,shape->LB-value is circular (recall@1=1.0 by construction; <=0.75 cap),consistent with the standing cross-script REFUTE_LOTO_FRAGILE / distributional-null lineage (memory: crossscript-gate),VERIFIED_FROM_ARTIFACT,foundry
FND-12,WP5(a) external-anchor inventory (3-channel provenance census),linear_a_foundry / WP5a,research/linear-a-decipherment-foundry,L5 (anchor/value provenance),provenance census + dependency-tier reconciliation,RUN_EXPLORATORY (inventory build),STRUCTURAL_ONLY / TRIVIAL_RECOVERY (only 2 held-out pins survive independently),INVENTORY_BUILT,"115 records / 62 signs; 47 lexical / 57 homomorphy / 11 Cypriot; 26 nominal multi-channel-independent but only 2 held-out (I,RI); 3 one-toponym-deep pins; 31 structural-only [VERIFIED_FROM_ARTIFACT data/wp5_anchor_inventory.json; note the JSON summary lists 26 'held_out_survivable' which the REPORT overrides down to 2 via the frozen gate — CONFLICTING]","anchors are not the bottleneck (A,I,U exist as seeds)",NONE,single point of failure: every phonetic anchor inherits GORILA homomorphic transfer,feeds FND-13 seed choice,CONFLICTING (JSON 26 vs report 2 held-out survivable),foundry
FND-13,WP5(b) reduced-seed C/V bootstrap (semi-supervised label spreading),linear_a_foundry / WP5b,research/linear-a-decipherment-foundry,L2 (C/V partition),semi-supervised label spreading over affinity graph,RUN_EXPLORATORY,SUPPORTED on LB (mechanism validated) / NULL on LA (propagation power-limited),SIGNAL_VALIDATED (LB) / NULL (LA),"unsupervised floor AUC 0.568 -> 3-4 correct seeds 0.78 (kv=3) -> 0.82/0.87 (kv=4 pos/pos+sub) ~ supervised ceiling 0.835; frequency-seeding fails (peaks 0.726, p=0.13-0.25, top-freq are consonants TO/JO/KO); LA transfer NULL (held-out ~0.01-0.016, U buried) [VERIFIED_FROM_ARTIFACT data/wp5_reduced_seed_bootstrap.json]",LA affinity graph too weak to propagate seeds,NONE,non-circular (LB grades only; A/I seeds transcription-definitional),LATER REFUTED: seed-propagation shown to be a frequency artifact by the relative-phonology campaign (task note). Power quantified in FND-14; word-seg variant FND-18.,VERIFIED_FROM_ARTIFACT,foundry
FND-14,WP5.2 seed-propagation power curve (LB size ladder),linear_a_foundry / WP5.2,research/linear-a-decipherment-foundry,L2 (power characterization),corpus-size learning curve for the seed bootstrap,RUN_EXPLORATORY,"QUANTIFIED (LA ~chance; needs ~4.9x corpus, lower bound)",QUANTIFIED,"AUC crosses 0.70 at ~2620 wf (bracket 2000-3500); monotone 0.647->0.752 over 539->13562; LA(539) ~chance => needs ~4.9x corpus (bracket 3.7-6.5x, lower bound) [REPORT_ONLY headline; data curve shows size 539 kv=3 AUC 0.647 but size 300 kv=3 AUC 0.7747 — noisy/non-monotone at the low end, CONFLICTING with the smooth-monotone framing]",the WP5 LA null is corpus-starvation not a broken detector,NONE,non-circular,"LATER REFUTED (seed-propagation = frequency artifact, task note); contrast FND-07",CONFLICTING (headline 4.9x vs non-monotone low-end curve; vs FND-07 1.7x),foundry
FND-15,"Synthetic recovery lab (planted CV-syllabary, 5 regimes)",linear_a_foundry / lab,research/linear-a-decipherment-foundry,L2 (method validation on synthetic truth),generative synthetic corpus + full-pipeline recovery across regimes,RUN_EXPLORATORY,"SUPPORTED (methods proven power-limited, not method-dead) / QUANTIFIED 5/5",QUANTIFIED (5/5),"(1) LB-scale positive: position AUC 0.778, substitution fires 100% (z=3.72), WP5 0.677; (2) LA-scale packed same-language: position AUC 0.536 (CI straddles chance), substitution 0%, WP5 0.548 = NO_POWER; (3) wrong-language ~chance at every scale; recovery (AUC>=0.75) needs >=8000 tokens word-seg ~1.88x LA; LA-packed never clears 0.75 (segmentation tax) [VERIFIED_FROM_ARTIFACT data/wp6_synthetic_recovery_lab.json]","the core deliverable: LA nulls are corpus-power-limited, not method failures",NONE,synthetic — no leakage,underwrites the 'not method-dead' framing across WP3/5,VERIFIED_FROM_ARTIFACT,foundry
FND-16,WP6 agnostic reduced-K-class value search + multi-family end-to-end null,linear_a_foundry / WP6,research/linear-a-decipherment-foundry,L5/L6 (value map),beam-search value assignment + multi-family end-to-end null (S/W/R),RUN_EXPLORATORY,NULL (fails decisive value-specific nulls),AT_END_TO_END_NULL,"real gain +0.01339 nats/tok; beats S order-shuffle (z=+8.46, mean -0.0369) BUT W wrong-language LB scores higher (FWER_W=1.0, z=-2.091) and R random-prior sits at real (FWER_R~0.5); pooled decisive FWER=0.71 [VERIFIED_FROM_ARTIFACT data/wp6_agnostic_search_endtoend_null.json]","detects generic linguistic order, not a value map (necessary-not-sufficient)",NONE,non-circular (LB only as wrong-language null),replicated by candidate rounds FND-19/20/21,VERIFIED_FROM_ARTIFACT,foundry
FND-17,WP7 word-segmented substitution channel (segmentation trade-off),linear_a_foundry / WP7,research/linear-a-decipherment-foundry,L2 (methodological),text-unit ablation of the substitution graph,RUN_EXPLORATORY,REFUTED (of the 'segmentation is a uniform win' claim) / NULL for this channel word-segmented,AT_END_TO_END_NULL for the word-segmented substitution channel (opaque-LB gate still fires),LA max context-weight 105 (packed) -> 47 (word); strong edges 328->154; C/V-boundary enrichment z 2.59 -> -0.50 (null); opaque-LB gate fires z=8.46 [VERIFIED_FROM_ARTIFACT data/wp7_word_substitution_channel.json],short GORILA words starve the context-hungry substitution channel,NONE,non-circular,corrects the WP2 'clean win' (FND-10),VERIFIED_FROM_ARTIFACT,foundry
FND-18,WP8 word-segmented reduced-seed C/V bootstrap,linear_a_foundry / WP8,research/linear-a-decipherment-foundry,L2 (C/V partition),semi-supervised label spreading on word-segmented units,RUN_EXPLORATORY,PARTIAL_SUPPORT (coverage helped: recovers U; accuracy unvalidated on LA) / NULL validity,opaque-LB gate unchanged (>=3 correct vowel seeds -> AUC>=0.75); LA gain = coverage not accuracy,"seeding {A,I} propagates to 6->9 vowel-like signs; word units recover U (2nd); true vowel O mis-ranked bottom (coverage not accuracy); LB min 3 correct vowel seeds -> AUC>=0.75 [VERIFIED_FROM_ARTIFACT data/wp8_word_reduced_seed_cv.json]",coverage improves but LA accuracy uncertain,NONE,non-circular,"LATER REFUTED (seed-propagation = frequency artifact, task note); word-seg pair to FND-13",VERIFIED_FROM_ARTIFACT,foundry
FND-19,Candidate-language round 1 (West Semitic / Pre-Greek-Anatolian / agnostic control),linear_a_foundry / candidate rounds,research/linear-a-decipherment-foundry,L8/L9 (language-id / lexical reading),bounded preregistered phoneme->value correspondence + fixed cited lexicon + multi-family null,RUN_PREREGISTERED,NULL (same-structure-lexicon artifact; only KU-RO='total' survives),AT_END_TO_END_NULL,SEM match rate 0.04214 (Holm decisive p=0.03) but CONTROL match 0.01542 also clears raw bar (Holm 0.03) => artifact; ANA 0.00411 (Holm 0.1592); no family clears_calibrated; only KU-RO survives [VERIFIED_FROM_ARTIFACT data/candidate_round1_results.json],adequate to detect the artifact,NONE (LANGUAGE_ID / LEXICAL NOT_EARNED),"non-circular (correspondences from candidate-language dictionaries, never fitted to LA; LB only as null)",round-1 salted hash() non-determinism fixed to md5(family); replicated by FND-20/21 and FND-16,VERIFIED_FROM_ARTIFACT,foundry
FND-20,Candidate-language round 2 (Hurrian / Luwian / control),linear_a_foundry / candidate rounds,research/linear-a-decipherment-foundry,L8/L9,bounded preregistered correspondence + multi-family null (same engine as FND-19),RUN_PREREGISTERED,NULL,AT_END_TO_END_NULL,"Hurrian match 0.03083 (Holm 1.0), Luwian 0.00206 (Holm 0.2835; only hit TA-TI), control 0.00617 (Holm 1.0); none clears [VERIFIED_FROM_ARTIFACT data/candidate_round2_results.json]",adequate,NONE,non-circular,with FND-19/21 completes 5 named families + isolate,VERIFIED_FROM_ARTIFACT,foundry
FND-21,Candidate-language round 3 (Etruscan / Aegean-isolate substrate / control),linear_a_foundry / candidate rounds,research/linear-a-decipherment-foundry,L8/L9,bounded preregistered correspondence + multi-family null (same engine),RUN_PREREGISTERED,NULL (the decisive clean finding: random control match rate exceeds Etruscan's),AT_END_TO_END_NULL,"Etruscan match 0.03289 (Holm 0.5374), control match 0.05447 (Holm 0.5223) EXCEEDS Etruscan; Aegean-isolate 0.0 held-out matches (Holm 1.0); none clears [VERIFIED_FROM_ARTIFACT data/candidate_round3_results.json]",the clean mechanism isolation: control bare rate 0.054 > Etruscan 0.033,NONE,non-circular,completes the candidate-language programme; converges with FND-16,VERIFIED_FROM_ARTIFACT,foundry
FND-22,Sealed-prediction programme (5 hashed held-out challenge manifests),linear_a_foundry / seals,research/linear-a-decipherment-foundry,L0-L9 (evaluation infrastructure; no claim),sha256-committed held-out split manifests (pre-registration of evaluation sets),DESIGNED_NOT_RUN (splits built; no candidate to score),NOT_APPLICABLE / NO_VERDICT_RECORDED (NO_CANDIDATE_TO_SEAL),NO_CANDIDATE_TO_SEAL,"5 manifests, all status NO_CANDIDATE_TO_SEAL; SEAL_5 = Anetaki II (KN Zg 57/58) as_of 2026-07-07 [VERIFIED_FROM_ARTIFACT]",preserves the split for any future candidate,NONE,built from public metadata only — no candidate leakage,SEAL_5 makes the acquisition target (Anetaki II) a dated hashed prospective commitment,VERIFIED_FROM_ARTIFACT,foundry
FND-23,Source-lineage audit / value-lineage-independence register (63 sources),linear_a_foundry / sources,research/linear-a-decipherment-foundry,"meta (provenance / source-dependency, Art. XI)",source-dependency graph / lineage-cluster audit,RUN_EXPLORATORY (inventory),STRUCTURAL_ONLY (honesty finding: every phonetic LA reading is single-sourced through GORILA),INVENTORY_BUILT (63 sources; quota met),"63 sources audited (25 verified on disk, 6 UNAVAILABLE-with-what-they'd-add); 48 independent of GORILA/Ventris value lineage [VERIFIED_FROM_ARTIFACT data/wp7_source_register.json + SOURCE_REGISTER.csv]",N/A,NONE,the finding IS the leakage risk: all phonetic LA readings single-sourced through GORILA homomorphic transfer,names the acquisition target reused in SEAL_5 (FND-22),VERIFIED_FROM_ARTIFACT,foundry
PC-01-scaffold,Comparison-layer scaffold: predict/verdict/family_scores + graduation gate (§E),paper_core:foundation,main,NOT_APPLICABLE (infrastructure; enforces L0-L9 caps),infrastructure/graduation-gate,REPRODUCED,NOT_APPLICABLE,n/a (it IS the verdict engine); grep-verified sole writer of verdicts table; 13/13 -> 365 tests pass across passes,"0 verdicts ever graduated (verdicts total=0, GRADUATE=0) -> gate changes move no published number [VERIFIED_FROM_ARTIFACT: second-pass grep proof]",n/a,none (enforcement of transfer_licences.json),verdict.py grep-clean of anthropic/openai/llm/ollama/http; LLM never grades,MDL clause removed (review-fixes P0); DSR demoted; family gate corrected (second-pass P0),high,paper_core
PC-02-decontamination-framework,Decontamination framework: S_phono / S_morph / N_eff instrumentation / L_known-L_virgin partition,paper_core:foundation,main,NOT_APPLICABLE (infrastructure),infrastructure/decontamination,REPRODUCED,NOT_APPLICABLE,"226->365 tests pass; S_morph productivity gate FP=3.0% (6/200) on shuffled corpora, power=100% (50/50) on planted affixes [VERIFIED_FROM_ARTIFACT via finding + tests]",S_morph FP 3.0% / power 100% [VERIFIED_FROM_ARTIFACT],100% on genuine recurring-affix corpus,none,"S_phono explicitly WEAK, never verdict-bearing",feeds PC-01 gate; L_virgin renamed L_not_indexed repo-wide,high,paper_core
PC-03-inventory-ontology,Cleaned GORILA/SigLA sign ontology by inheritance (259 tokens -> 166 canonical ids -> V=92 conservative syllabary),paper_core:foundation,main,L1 (sign-id / functional class),corpus-normalization/ontology,REPRODUCED,STRUCTURAL_ONLY,35/35 tests (+4 xfail); class counts + cleaned floor reproduced [VERIFIED_FROM_ARTIFACT],"conservative V=92, N=5171, H_rate 4.467, D 2.057, U(P=30)=219; U<<N on every stream [VERIFIED_FROM_ARTIFACT]",n/a,none,logograms/numerals/fractions kept as separate channels (zero leaks verified),feeds cross-script anchors + CSA sufficiency locator; floor still toy-model precondition only,high,paper_core
PC-04-information-floor,Shannon unicity-distance information floor (WITHDRAWN as identifiability claim),paper_core:foundation,main,L0/L1 diagnostic only,information-theory/diagnostic,SUPERSEDED,UNDERDETERMINED,WITHDRAWN by two independent red-teams; retained only as toy-model precondition diagnostic,U~=204-415 << N=5792 [VERIFIED_FROM_ARTIFACT] but claim WITHDRAWN,n/a,none,measuring D from ciphertext makes oracle = LA up to relabelling (the fatal circularity),SUPERSEDED by CSA pseudo-decipherment learning curves (PC-26) as the real sufficiency test,high,paper_core
PC-05-morphology-pooled,Direction A pooled unsupervised morphology / affix induction vs L_fake bigram floor,paper_core:substantive-probes,main,L3 (structure/morphology),unsupervised-morphology/null-falsification,RUN_PREREGISTERED,NULL_PUBLISHED,has_morphology_power=False (real 0.250 beats shuffle 0.000 but NOT L_fake bigram floor 0.375) [VERIFIED_FROM_ARTIFACT],"real 0.250, shuffle 0.000, L_fake 0.375, 4/16 affixes beat perm+deflated bar; i-*301 z~8.0 p~1e-14 [VERIFIED_FROM_ARTIFACT runtime/morphology-real.json]","underpowered by short words (the mechanism, confirmed by PC-07 LB control firing)",none,imports no verdict.py; no phonetic claim; Fuls 2015 3.3-sign reconciled (distinct multi-sign 3.07),companion positive = segmentation (PC-06); control = PC-07,high,paper_core
PC-06-segmentation-published,Word-boundary segmentation positive: DP-unigram (Goldwater) micro-F1 vs random-boundary floor (published),paper_core:substantive-probes,main,L2 (structure/word segmentation),unsupervised-segmentation/LOSO,REPRODUCED,SUPPORTED,"micro-F1 0.4361 vs random 0.3888; site-clustered bootstrap gap 95% CI [0.021,0.099] excludes 0, P(gap>0)=0.998 [VERIFIED_FROM_ARTIFACT]","0.4361 vs 0.3888; gap CI [0.021,0.099]; P(gap>0)=0.998 [VERIFIED_FROM_ARTIFACT]",adequate; positive stands,STRUCTURAL only (L2); earns no functional/phonetic licence,no leakage; boundaries only,baseline/anchor for post-submission PC-34 segmentation extension,high,paper_core
PC-07-linb-morphology-control,Linear B (Mycenaean Greek) morphology positive control for the bigram-floor test,paper_core:substantive-probes,main,"L3 (control, on a known script)",positive-control/null-falsification,RUN_PREREGISTERED,SUPPORTED,has_morphology_power=True: real 0.5625 > shuffle 0.0 and > L_fake 0.3125 [VERIFIED_FROM_ARTIFACT results/linb_morphology_control.json],"0.5625 real (9/16), L_fake 0.3125, shuffle 0.0 [VERIFIED_FROM_ARTIFACT]",fires; power tracks word length (mean 3.23 vs LA 1.84),"none (control, not a LA claim)",n/a,interprets PC-05 null; parallels KU-RO/LB controls in campaign,high,paper_core
PC-08-morphology-stratified,"Direction-A STRATIFIED morphology re-run (per-genre stratum, cross-stratum stability)",paper_core:substantive-probes,main,L3 (structure/morphology),stratified-morphology/null-falsification,RUN_PREREGISTERED,NULL_PUBLISHED,"has_validated_morphology=False at pre-registered alpha=0.01, robust to genre bucketing [VERIFIED_FROM_ARTIFACT runtime/morphology-stratified.json]",NULL at alpha=0.01 both bucketings; i-/-te/-ti (Duhoux/Valerio H3) validate ONLY in doubly-relaxed corner (alpha=0.05 + loose bucketing) [VERIFIED_FROM_ARTIFACT],thin strata; even i-*301 bigram-reproducible in libation register,none,abbreviation channel excluded; no phonetic claim; imports no verdict.py,"sharpens PC-05 pooled null; two confounds caught (one self, one reviewer)",high,paper_core
